id,origin_id,neighbor_1_id,neighbor_2_id,origin_x,origin_y,neighbor_1_x,neighbor_1_y,neighbor_2_x,neighbor_2_y,theta,radius,centerx,centery,nn_id
3780,12339231348,12339231352,12339231361,-21.9170273,64.1018973,-21.9172946,64.1018924,-21.9169872,64.1017992,111.18290465204086,inf,inf,inf,None
3781,12339231361,12339231347,12339231348,-21.9169872,64.1017992,-21.9162359,64.1010094,-21.9170273,64.1018973,158.66417689040318,inf,inf,inf,None
3782,12339231362,12339231363,12339231374,-21.947098,64.1341121,-21.9469137,64.1341928,-21.9472646,64.1341855,132.57553611631835,0.07486925801260245,-21.947190650053702,64.05233937148829,"('way', 365099771)"
3783,12339231362,12339231368,12339231374,-21.947098,64.1341121,-21.9482223,64.1336026,-21.9472646,64.1341855,48.15579777252447,0.00632530199442165,-21.93159419842977,64.13419348134369,"('way', 105908825)"
3784,12339231367,12339231366,12339231440,-21.9434772,64.1357018,-21.9438554,64.1355367,-21.9435972,64.135752,46.28445055643129,0.004987864478012842,-21.930786289759414,64.13579949186261,"('way', 95762871)"
3785,12339231367,12339231424,12339231440,-21.9434772,64.1357018,-21.9432753,64.1357855,-21.9435972,64.135752,134.78179461663888,0.10454147991993903,-21.943295203367374,64.24894606255458,"('way', 87846668)"
3786,12339231373,12339231372,12339231731,-21.9494821,64.1324759,-21.949449,64.1325081,-21.9492198,64.1324532,49.15654351727671,0.0037325170466717007,-21.957934227100594,64.12946089666926,"('way', 61737845)"
3787,12339231373,12339231484,12339231731,-21.9494821,64.1324759,-21.9495249,64.1324418,-21.9492198,64.1324532,136.50847731257863,0.12099709372997586,-21.911831605373035,64.00776819132167,"('way', 105908790)"
3788,12339231376,12339231375,12339231735,-21.9487387,64.1348342,-21.9481435,64.1345723,-21.9490694,64.1348234,154.3790370610131,0.005282224053916906,-21.947710646858656,64.14015281432528,"('way', 105908812)"
3789,12339231376,12339231375,12339274190,-21.9487387,64.1348342,-21.9481435,64.1345723,-21.9487991,64.1348931,159.47082389366315,0.5915806408198586,-21.61241951930658,64.63316547857114,"('way', 105908812)"
3790,12339231376,12339231735,12339274190,-21.9487387,64.1348342,-21.9490694,64.1348234,-21.9487991,64.1348931,46.150139045323805,0.004933299108940404,-21.937003927088753,64.13028150499217,"('way', 28687893)"
3791,12339231377,12339231378,12339231384,-21.951022,64.1356382,-21.9511556,64.1355795,-21.9509306,64.1356095,138.84817686801318,0.005605329080713264,-21.95135031252981,64.14161646464,"('way', 28687893)"
3792,12339231382,12339231381,12339231383,-21.9522306,64.1358942,-21.9511855,64.1356798,-21.952095,64.1360304,56.719735120241005,0.007225468523266809,-21.966795193445908,64.13150614896432,"('relation', 9964726)"
3793,12339231383,12339231382,12339231387,-21.952095,64.1360304,-21.9522306,64.1358942,-21.9517389,64.1359557,123.02622317640176,0.06894434027620107,-21.974556778151143,64.2111872050463,"('way', 234058003)"
3794,12339231386,12339231385,12339231732,-21.9498732,64.1351606,-21.9499158,64.1351787,-21.9500065,64.135098,48.17536274344968,0.006299940320836471,-21.934439927669903,64.13544828049771,"('way', 28687893)"
3795,12339231386,12339231732,12339231735,-21.9498732,64.1351606,-21.9500065,64.135098,-21.9490694,64.1348234,132.08602616014204,0.08650751887799739,-21.951853319625215,64.22980254298474,"('way', 28687894)"
3796,12339231389,12339231388,12339231417,-21.9515894,64.1359244,-21.9517007,64.1359477,-21.9509785,64.1364485,127.54944430121849,0.07989115500742526,-21.92943919287709,64.04966438723025,"('way', 307235224)"
3797,12339231389,12339231417,12339275857,-21.9515894,64.1359244,-21.9509785,64.1364485,-21.9514809,64.1359016,52.49413892241378,0.006954510349136595,-21.966822284714887,64.13201901112676,"('relation', 9964726)"
3798,12339231390,12339231391,12339231394,-21.9503267,64.1381898,-21.9504112,64.1381176,-21.9504669,64.1382197,52.55075807508514,0.007381215764945442,-21.934165056607902,64.14229026681022,"('way', 28617787)"
3799,12339231390,12339231391,12339231398,-21.9503267,64.1381898,-21.9504112,64.1381176,-21.9501767,64.1381578,127.44559363454655,0.071403614061049,-21.969907828539103,64.21537747253136,"('way', 375286702)"
3800,12339231393,12339231392,12339231446,-21.9527113,64.1361631,-21.9520576,64.1367153,-21.9531401,64.1362555,127.65077450728609,0.08414295937083385,-21.93000682952258,64.04519629257867,"('way', 28630699)"
3801,12339231397,12339231396,12339231455,-21.9514989,64.1384399,-21.951392,64.1384171,-21.952633,64.1374564,127.02808536080096,0.0055027957641310046,-21.95303265659027,64.14439358936168,"('way', 28617719)"
3802,12339231397,12339231409,12339231455,-21.9514989,64.1384399,-21.9523119,64.1386134,-21.952633,64.1374564,52.97869311760176,0.007655119894532754,-21.934878548994977,64.14272049470415,"('way', 28616785)"
3803,12339231401,12339231400,12339231403,-21.949198,64.137949,-21.9493182,64.1379746,-21.949095,64.1380248,131.62669724278837,0.0945444465616812,-21.971035778223257,64.2392648994371,"('way', 307235225)"
3804,12339231401,12339231400,12339231411,-21.949198,64.137949,-21.9493182,64.1379746,-21.9498124,64.1374467,51.29068475420712,0.006930466773585158,-21.93363533416258,64.14172039470088,"('way', 375286702)"
3805,12339231408,12339231407,12339277646,-21.9476433,64.137625,-21.9477224,64.1376784,-21.9477777,64.1375913,48.099441499046506,0.005575176374019952,-21.934169601233204,64.13525568200326,"('way', 307235225)"
3806,12339231408,12339277676,12339277646,-21.9476433,64.137625,-21.9475894,64.1375887,-21.9477777,64.1375913,131.96458064286773,0.007733176410278513,-21.946181698479784,64.14596406113967,"('way', 1217625473)"
3807,12339231427,12339231426,12339231428,-21.9429069,64.1360485,-21.943007,64.1359536,-21.9428818,64.1361127,154.8262698777561,0.25577457226693523,-22.160326957778626,64.28237278709952,"('way', 87846624)"
3808,12339231434,12339231433,12339231435,-21.9429743,64.1371222,-21.9429841,64.1370214,-21.9429181,64.1372238,156.60381329146725,0.3371053577775636,-21.61420513631271,64.03502996472022,"('way', 873322216)"
3809,12339231443,12339231442,12339277684,-21.9452729,64.1364533,-21.9445688,64.1361587,-21.9453655,64.1364119,133.20658424878195,0.004541592577426585,-21.94521313908988,64.13150519257866,"('way', 873322216)"
3810,12339231443,12339277671,12339277684,-21.9452729,64.1364533,-21.9453872,64.1365012,-21.9453655,64.1364119,46.82588881707719,0.005530758574670784,-21.93135494034528,64.13661744991255,"('relation', 11503288)"
3811,12339231444,12339231445,12339231451,-21.9538476,64.1364078,-21.9537954,64.1363966,-21.9537828,64.1364662,54.13601704394162,0.007801640284474529,-21.970411299797746,64.13198250038107,"('way', 28630587)"
3812,12339231444,12339231447,12339231451,-21.9538476,64.1364078,-21.954375,64.1365214,-21.9537828,64.1364662,125.8181504826179,0.07856286608268395,-21.931104410770786,64.05114431362529,"('way', 28630585)"
3813,12339231456,12339231457,12339231466,-21.95798,64.1339754,-21.9580731,64.1339736,-21.9577575,64.1341788,138.67539937531112,0.09572279445573002,-21.92003771104733,64.0389682944504,"('way', 810779391)"
3814,12339231456,12339231461,12339231466,-21.95798,64.1339754,-21.9578156,64.1339345,-21.9577575,64.1341788,56.402844043206045,0.007089736715488558,-21.972522053093744,64.13028737595167,"('way', 92987027)"
3815,12339231456,12339231461,12339231495,-21.95798,64.1339754,-21.9578156,64.1339345,-21.9581813,64.1338324,130.64005768133475,0.0884136629602858,-21.93989870860102,64.03836838325401,"('way', 830281148)"
