from_id,to_id
1848219055, 602729079
602729079, 111465687
111465687, 2320771865
2320771865, 2328470640
2328470640, 470330027
470330027, 534441279
534441279, 11142383860
11142383860, 12339218091
12339218091, 323282788
323282788, 1064270444
1064270444, 59980770
59980770, 167293099
167293099, 167293023
167293023, 26471951
26471951, 1225420655
1225420655, 12339218093
12339218093, 34512506
34512506, 1232404889
1232404889, 5902567606
1232404889, 35786587
35786587, 35786592
5902567606, 1229320617
1229320617, 1344359843
1344359843, 87135172
87135172, 87132867
87132867, 1208295444
1208295444, 59981798
59981798, 1206684191
14587161, 1445535410
1445535410, 137868463
137868463, 470330027
26471908, 26471976
26471976, 26478210
26471976, 1225420655
406311222, 1201099500
1201099500, 1201238872
1201238872, 1014129863
1014129863, 1208295444
1064270444, 35786587
35786587, 34186922
34186922, 1344359843
34186922, 1201238872
470330027,35786592
1201238872, 2320771865
34512506, 5048627590
5048627590, 5048474491
4425983363, 5007537719
5007537719, 137868463
